subject_id,task,trial_block,trial_number,shape1,label1,correct_key,participant_response,reaction_time,participant_correct,event_name,image,word,stimulus,category
1,localizer,2,567,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,568,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,569,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,570,lampe,,,,,TRUE,image,0.0,1.004,lampe,object
1,localizer,2,571,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,572,biche,,j,j,569.0,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,573,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,574,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,2,575,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,576,croix,,j,j,542.0,TRUE,image,0.0,1.0,croix,shape
1,localizer,2,577,,croix,j,j,475.0,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,578,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,579,,carre,,,,TRUE,word,,0.0,carre,shape
1,localizer,2,580,carre,,j,j,474.0,TRUE,image,0.0,1.0,carre,shape
1,localizer,2,581,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,582,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,583,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,584,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,585,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,586,losange,,,,,TRUE,image,0.0,1.0,losange,shape
1,localizer,2,587,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,588,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,2,589,,pince,,,,TRUE,word,1.004,0.0,pince,object
1,localizer,2,590,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,591,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,592,losange,,,,,TRUE,image,0.0,1.0,losange,shape
1,localizer,2,593,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,594,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,595,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,596,croix,,j,,,FALSE,image,0.0,1.0,croix,shape
1,localizer,2,597,,cercle,,,,TRUE,word,1.004,0.0,cercle,shape
1,localizer,2,598,cercle,,j,j,756.0,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,599,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,600,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,601,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,602,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,603,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,604,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,605,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,606,dinde,,,,,TRUE,image,0.0,1.004,dinde,agent
1,localizer,2,607,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,2,608,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,609,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,610,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,611,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,612,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,613,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,614,croix,,,,,TRUE,image,0.0,1.004,croix,shape
