index,event_name,assignment_1_label,assignment_1_shape,assignment_2_label,assignment_2_shape,central_location_flash,initial_fixation,inter_assignment_fixation,outcome,peripheral_location_flash,post_assignment_fixation,post_central_fixation,post_outcome_fixation,post_peripheral_fixation,response,test_sentence_1,test_sentence_2,test_sentence_3,test_sentence_4,test_sentence_5,onset_sec,trial_number,trial_block
4406,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.196,,,,,,,3212.708,9,8
4407,post_peripheral_fixation,,,,,,,,0.804,-0.196,,,1.0,0.0,,,,,,,3212.904,9,8
4408,outcome,,,,,,,,0.0,,,,0.196,,,0.7,,,,,3213.708,9,8
4409,post_outcome_fixation,,,,,,,,-0.196,,,,0.0,,,0.504,0.9,,,,3213.904,9,8
4410,test_sentence_1,,,,,,,,,,,,,,,0.0,0.396,0.8,,,3214.408,9,8
4411,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.404,0.804,,3214.804,9,8
4412,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.796,3215.208,9,8
4413,test_sentence_4,,,,,,,,,,,,,,0.796,,,,0.0,0.396,3215.608,9,8
4414,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,3216.004,9,8
4415,response,,,,,,,,,,,,,,0.0,,,,,,3216.404,9,8
4416,initial_fixation,,0.504,,,,0.0,,,,,,,,,,,,,,3217.664,10,8
4417,assignment_1_shape,0.996,0.0,,,,,,,,,,,,,,,,,,3218.168,10,8
4418,assignment_1_label,0.0,,,,,,1.004,,,,,,,,,,,,,3219.164,10,8
4419,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,3220.168,10,8
4420,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,3221.168,10,8
4421,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,3222.168,10,8
4422,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3223.168,10,8
4423,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3224.168,10,8
4424,post_central_fixation,,,,,,,,,0.804,,0.0,,1.0,,,,,,,3225.168,10,8
4425,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.196,,,,,,,3225.972,10,8
4426,post_peripheral_fixation,,,,,,,,0.804,-0.196,,,1.0,0.0,,,,,,,3226.168,10,8
4427,outcome,,,,,,,,0.0,,,,0.196,,,0.7,,,,,3226.972,10,8
4428,post_outcome_fixation,,,,,,,,-0.196,,,,0.0,,,0.504,0.904,,,,3227.168,10,8
4429,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,3227.672,10,8
4430,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,3228.072,10,8
4431,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,3228.472,10,8
4432,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,3228.872,10,8
4433,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,3229.272,10,8
4434,response,,,,,,,,,,,,,,0.0,,,,,,3229.672,10,8
4435,initial_fixation,0.492,,,,,0.0,,,,,,,,,,,,,,3231.156,11,8
4436,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,3231.648,11,8
4437,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,3232.648,11,8
4438,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,3233.648,11,8
4439,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,3234.648,11,8
4440,assignment_2_shape,,,,0.0,,,,,,,,,,,,,,,,3235.648,11,8
4441,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3236.66,11,8
4442,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3237.66,11,8
4443,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,3238.66,11,8
4444,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,3239.46,11,8
4445,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,3239.66,11,8
4446,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,3240.46,11,8
4447,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,3240.66,11,8
4448,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,3241.16,11,8
4449,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,3241.56,11,8
4450,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,3241.96,11,8
4451,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,3242.36,11,8
4452,test_sentence_5,,,,,,0.9,,,,,,,,0.4,,,,,0.0,3242.76,11,8
4453,response,,1.004,,,,0.5,,,,,,,,0.0,,,,,,3243.16,11,8
4454,initial_fixation,,0.504,,,,0.0,,,,,,,,,,,,,,3243.66,12,8
4455,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,3244.164,12,8
4456,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,3245.164,12,8
4457,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,3246.164,12,8
4458,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,3247.164,12,8
4459,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,3248.164,12,8
4460,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3249.164,12,8
4461,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3250.164,12,8
4462,post_central_fixation,,,,,,,,,0.804,,0.0,,1.0,,,,,,,3251.164,12,8
4463,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.196,,,,,,,3251.968,12,8
